"Object name","Astrometric R.A. (hh:mm:ss.ss)","Astrometric Dec. (dd mm′ss.s″)","RA center dist. (″)","Dec. center dist. (″)","Norm center dist. (″)","Visual magnitude (V)","RA rate (″/h)","Dec. rate (″/h)","",""
"36458 (2000 QO8)","04:34:10.14","+17 45'05.5""","-2.0e+3","5.0e+3","5.1e+3","19.0","3.2e+1","-3.0e+0","36458","a0036458"
"36472 Ebina (2000 QQ26)","04:44:24.25","+18 58'57.2""","7.0e+3","9.0e+3","1.1e+4","19.2","2.6e+1","6.7e+0","36472","a0036472"
"36544 (2000 QK98)","04:18:59.69","+22 24'31.4""","-2.0e+4","2.0e+4","2.6e+4","19.4","1.1e+1","5.8e+0","36544","a0036544"
"36550 (2000 QM101)","04:56:04.99","+18 01'12.4""","2.0e+4","6.0e+3","1.7e+4","18.9","3.0e+1","5.3e+0","36550","a0036550"
"36562 (2000 QV109)","04:58:54.55","+18 36'17.0""","2.0e+4","8.0e+3","2.0e+4","20.2","2.1e+1","-1.6e+0","36562","a0036562"
"36563 (2000 QW112)","04:55:18.30","+15 12'55.7""","2.0e+4","-5.0e+3","1.7e+4","18.8","2.6e+1","-4.2e+0","36563","a0036563"
"36640 (2000 QR184)","04:11:03.92","+15 43'30.2""","-2.0e+4","-3.0e+3","2.2e+4","19.1","2.0e+1","3.6e+0","36640","a0036640"
"36702 (2000 RC18)","05:04:11.34","+16 11'12.1""","2.0e+4","-1.0e+3","2.4e+4","19.2","3.2e+1","-9.7e+0","36702","a0036702"
"36739 (2000 RG61)","04:12:13.74","+17 09'23.4""","-2.0e+4","2.0e+3","2.1e+4","19.1","8.2e+0","-2.0e+0","36739","a0036739"
"36760 (2000 RS76)","04:33:27.76","+19 43'17.5""","-3.0e+3","1.0e+4","1.2e+4","19.4","1.6e+1","3.6e+0","36760","a0036760"
"36792 (2000 SC23)","04:50:06.39","+13 19'46.9""","1.0e+4","-1.0e+4","1.6e+4","18.6","2.2e+1","-1.5e+1","36792","a0036792"
"36836 (2000 SN109)","04:39:22.62","+22 28'38.3""","2.0e+3","2.0e+4","2.2e+4","19.9","2.0e+1","3.9e+0","36836","a0036836"
"36891 (2000 SJ168)","04:43:44.02","+21 57'50.7""","6.0e+3","2.0e+4","2.1e+4","19.1","1.8e+1","-5.2e+0","36891","a0036891"
"36926 (2000 SZ213)","04:52:24.69","+16 21'13.4""","1.0e+4","-4.4e+2","1.3e+4","19.3","2.1e+1","1.0e+1","36926","a0036926"
"36937 (2000 SX229)","04:10:08.04","+18 09'05.7""","-2.0e+4","6.0e+3","2.4e+4","20.0","1.0e+1","5.5e-1","36937","a0036937"
"37021 (2000 UB1)","04:35:38.48","+17 44'43.7""","-1.0e+3","5.0e+3","4.7e+3","19.2","1.1e+1","-6.6e+0","37021","a0037021"
"37043 (2000 US26)","04:37:09.88","+15 04'53.9""","2.6e+2","-5.0e+3","5.0e+3","19.3","2.0e+1","-3.5e+0","37043","a0037043"
"37120 (2000 VS6)","04:46:18.82","+18 12'31.7""","8.0e+3","6.0e+3","1.0e+4","19.9","1.9e+1","-6.1e+0","37120","a0037120"
"37122 (2000 VQ10)","04:10:47.32","+18 34'22.7""","-2.0e+4","8.0e+3","2.4e+4","20.0","4.1e+0","4.1e+0","37122","a0037122"
"37180 (2000 WE46)","04:54:41.86","+19 27'28.6""","2.0e+4","1.0e+4","1.9e+4","19.7","1.3e+1","-4.8e+0","37180","a0037180"
"37202 (2000 WK95)","04:19:23.22","+18 00'56.3""","-2.0e+4","6.0e+3","1.6e+4","18.5","1.8e+1","7.2e+0","37202","a0037202"
"37230 (2000 WA147)","04:31:55.28","+10 23'47.8""","-4.0e+3","-2.0e+4","2.2e+4","19.5","1.2e+1","-8.6e+0","37230","a0037230"
"37373 (2001 VM34)","04:47:31.88","+21 30'16.9""","9.0e+3","2.0e+4","2.0e+4","18.3","2.8e+1","2.7e+0","37373","a0037373"
"37476 (1107 T-1)","04:53:13.61","+21 28'09.7""","1.0e+4","2.0e+4","2.3e+4","21.1","1.3e+1","2.7e-1","37476","a0037476"
"37547 (1981 EH22)","04:18:38.01","+20 26'48.2""","-2.0e+4","1.0e+4","2.1e+4","20.2","7.8e+0","2.3e-1","37547","a0037547"
"37619 (1993 OJ6)","04:20:08.41","+10 13'01.5""","-1.0e+4","-2.0e+4","2.7e+4","19.7","6.3e+0","-3.7e+0","37619","a0037619"
"37637 (1993 UZ5)","04:37:58.47","+14 38'56.1""","9.6e+2","-7.0e+3","6.6e+3","19.8","2.1e+1","-1.8e+0","37637","a0037637"
"37682 (1995 GZ6)","05:02:15.00","+15 16'33.4""","2.0e+4","-4.0e+3","2.2e+4","19.9","1.8e+1","-2.4e+0","37682","a0037682"
"37707 (1996 RK3)","04:19:26.36","+15 31'45.1""","-2.0e+4","-3.0e+3","1.5e+4","20.0","7.4e+0","-3.0e-1","37707","a0037707"
"37763 (1997 GB3)","04:15:23.88","+12 44'06.9""","-2.0e+4","-1.0e+4","2.3e+4","19.8","6.3e+0","-8.2e+0","37763","a0037763"
"37779 (1997 HE10)","04:51:51.23","+20 04'48.1""","1.0e+4","1.0e+4","1.8e+4","20.6","1.2e+1","2.3e-1","37779","a0037779"
"37829 (1998 BQ33)","05:04:43.53","+20 03'54.7""","2.0e+4","1.0e+4","2.7e+4","18.8","2.1e+1","4.5e+0","37829","a0037829"
"37898 (1998 FG65)","04:15:47.29","+14 46'05.6""","-2.0e+4","-6.0e+3","1.9e+4","20.5","2.7e+0","-7.6e+0","37898","a0037898"
"37958 (1998 HR57)","04:30:09.46","+21 49'03.6""","-6.0e+3","2.0e+4","2.0e+4","19.8","2.1e+1","2.7e+0","37958","a0037958"
"37998 (1998 KF34)","04:49:44.22","+17 29'51.2""","1.0e+4","4.0e+3","1.2e+4","21.0","1.4e+1","-2.9e+0","37998","a0037998"
"38058 (1999 CA35)","04:17:32.50","+22 14'21.0""","-2.0e+4","2.0e+4","2.6e+4","18.0","1.8e+1","1.0e+1","38058","a0038058"
"38105 (1999 JB21)","05:01:13.98","+21 28'18.4""","2.0e+4","2.0e+4","2.7e+4","20.3","1.9e+1","-1.8e+0","38105","a0038105"
"38146 (1999 JK61)","04:13:37.66","+19 08'23.2""","-2.0e+4","1.0e+4","2.2e+4","19.2","1.4e+1","-5.3e+0","38146","a0038146"
"38148 (1999 JU62)","04:49:01.81","+17 22'24.4""","1.0e+4","3.0e+3","1.1e+4","20.3","1.9e+1","-2.3e+0","38148","a0038148"
"38159 (1999 JB73)","04:42:30.56","+16 41'00.3""","5.0e+3","7.5e+2","4.9e+3","20.1","1.9e+1","-6.4e+0","38159","a0038159"
"38213 (1999 NU6)","04:27:39.77","+10 47'09.0""","-8.0e+3","-2.0e+4","2.2e+4","19.0","1.6e+1","-5.4e+0","38213","a0038213"
"38261 (1999 RY16)","04:42:32.69","+18 08'23.5""","5.0e+3","6.0e+3","7.7e+3","19.2","1.2e+1","-3.7e+0","38261","a0038261"
"38283 (1999 RK59)","05:01:25.40","+14 25'58.8""","2.0e+4","-7.0e+3","2.3e+4","19.8","2.0e+1","-4.9e+0","38283","a0038283"
"38382 (1999 RZ175)","04:50:52.49","+10 34'02.6""","1.0e+4","-2.0e+4","2.5e+4","19.0","2.1e+1","-1.3e+1","38382","a0038382"
"38430 (1999 RG232)","04:51:34.01","+15 35'53.0""","1.0e+4","-3.0e+3","1.3e+4","19.1","1.3e+1","2.2e+0","38430","a0038430"
"38463 (1999 TM22)","04:54:16.73","+19 39'56.9""","2.0e+4","1.0e+4","1.9e+4","20.3","1.2e+1","2.7e-1","38463","a0038463"
"38544 (1999 VS21)","05:03:25.09","+18 38'17.4""","2.0e+4","8.0e+3","2.4e+4","19.0","1.4e+1","1.5e+0","38544","a0038544"
"38647 (2000 OW8)","04:15:11.98","+14 30'51.1""","-2.0e+4","-7.0e+3","2.0e+4","18.4","2.3e+1","-3.4e+0","38647","a0038647"
"38699 (2000 QX63)","04:15:20.39","+18 58'29.3""","-2.0e+4","9.0e+3","2.1e+4","20.1","9.0e+0","6.7e+0","38699","a0038699"
"38707 (2000 QK89)","04:14:48.12","+19 09'39.5""","-2.0e+4","1.0e+4","2.1e+4","18.4","2.6e+1","-4.5e+0","38707","a0038707"
"38713 (2000 QJ116)","04:18:48.57","+15 29'26.9""","-2.0e+4","-4.0e+3","1.6e+4","19.1","2.6e+1","-1.4e-1","38713","a0038713"
"38798 (2000 RB54)","04:53:44.16","+18 37'52.4""","1.0e+4","8.0e+3","1.6e+4","19.5","2.0e+1","5.0e-1","38798","a0038798"
"38821 Linchinghsia (2000 RJ78)","04:31:33.49","+19 24'56.6""","-5.0e+3","1.0e+4","1.2e+4","18.5","3.2e+1","-3.7e-2","38821","a0038821"
"38882 (2000 SG123)","04:42:27.99","+14 46'25.3""","5.0e+3","-6.0e+3","7.8e+3","19.8","1.8e+1","-3.3e+0","38882","a0038882"
"38936 (2000 SD258)","04:55:07.74","+21 25'20.1""","2.0e+4","2.0e+4","2.4e+4","20.2","3.0e+1","1.3e+0","38936","a0038936"
"39007 (2000 UK40)","04:46:46.51","+17 37'36.3""","9.0e+3","4.0e+3","9.5e+3","19.9","1.3e+1","-6.8e+0","39007","a0039007"
"39041 (2000 UW89)","04:39:40.33","+09 54'49.4""","2.0e+3","-2.0e+4","2.4e+4","18.9","1.3e+1","2.3e+0","39041","a0039041"
"39082 (2000 VB32)","05:02:44.46","+20 03'41.0""","2.0e+4","1.0e+4","2.6e+4","19.4","2.7e+1","3.3e+0","39082","a0039082"
"39218 (2000 YY3)","04:45:14.50","+17 14'10.9""","7.0e+3","3.0e+3","7.7e+3","19.1","1.5e+1","3.7e+0","39218","a0039218"
"39226 (2000 YE26)","04:16:49.74","+15 49'39.0""","-2.0e+4","-2.0e+3","1.7e+4","19.6","9.0e+0","-6.9e+0","39226","a0039226"
"39297 (2001 FE53)","04:32:02.56","+22 53'33.0""","-4.0e+3","2.0e+4","2.3e+4","19.8","1.2e+1","5.1e+0","39297","a0039297"
"39361 (2002 AM179)","04:32:17.50","+16 45'44.7""","-4.0e+3","1.0e+3","4.1e+3","19.6","3.3e+1","3.1e+0","39361","a0039361"
"39411 (2266 T-1)","04:46:16.00","+20 45'52.7""","8.0e+3","2.0e+4","1.7e+4","19.8","1.7e+1","2.6e+0","39411","a0039411"
"39413 (3113 T-1)","04:18:58.46","+22 15'06.1""","-2.0e+4","2.0e+4","2.6e+4","20.0","1.5e+1","6.0e+0","39413","a0039413"
"39463 Phyleus (1973 SZ)","04:56:14.51","+16 18'11.4""","2.0e+4","-6.2e+2","1.7e+4","19.8","6.3e+0","-1.7e+0","39463","a0039463"
"39498 (1981 EH25)","04:59:53.49","+17 49'11.3""","2.0e+4","5.0e+3","2.0e+4","20.9","1.9e+1","-2.7e+0","39498","a0039498"
"39575 (1993 FR5)","04:50:11.26","+21 07'06.3""","1.0e+4","2.0e+4","2.0e+4","19.6","1.9e+1","4.1e+0","39575","a0039575"
"39625 (1994 PV9)","04:19:26.61","+20 35'49.4""","-2.0e+4","1.0e+4","2.1e+4","20.2","8.8e+0","1.1e+0","39625","a0039625"
"39662 (1995 VR3)","04:35:19.67","+19 39'29.3""","-1.0e+3","1.0e+4","1.2e+4","19.7","1.4e+1","1.2e+1","39662","a0039662"
"39786 (1997 LV17)","04:23:37.40","+16 19'43.7""","-1.0e+4","-5.3e+2","1.1e+4","20.2","4.4e+0","-3.5e+0","39786","a0039786"
"39788 (1997 MQ6)","05:02:44.99","+14 03'48.8""","2.0e+4","-9.0e+3","2.4e+4","19.0","1.6e+1","7.6e+0","39788","a0039788"
"39972 (1998 HT)","05:02:55.29","+16 44'10.4""","2.0e+4","9.4e+2","2.2e+4","19.8","2.0e+1","-2.0e+0","39972","a0039972"
"39995 (1998 HC51)","04:38:35.43","+18 24'56.5""","1.0e+3","7.0e+3","7.1e+3","19.4","1.5e+1","-1.0e+1","39995","a0039995"
"40058 (1998 KL46)","05:00:20.50","+16 03'54.1""","2.0e+4","-1.0e+3","2.0e+4","19.9","1.5e+1","-9.4e-1","40058","a0040058"
"40126 (1998 QL40)","04:55:32.78","+11 12'44.8""","2.0e+4","-2.0e+4","2.5e+4","20.0","1.2e+1","-1.1e+1","40126","a0040126"
"40197 (1998 RP80)","04:15:56.60","+15 27'58.8""","-2.0e+4","-4.0e+3","1.8e+4","18.5","5.7e+0","-6.7e+0","40197","a0040197"
"40205 (1998 SU30)","04:52:19.29","+13 18'29.6""","1.0e+4","-1.0e+4","1.8e+4","20.0","9.8e+0","-6.8e+0","40205","a0040205"
"40230 Rozmberk (1998 TJ6)","04:51:01.60","+20 25'51.5""","1.0e+4","1.0e+4","1.9e+4","20.2","7.1e+0","9.0e-1","40230","a0040230"
"40279 (1999 JD35)","04:12:41.74","+22 37'41.1""","-2.0e+4","2.0e+4","3.0e+4","19.0","2.1e+1","-1.4e+0","40279","a0040279"
"40292 (1999 JD72)","04:59:54.95","+15 10'07.0""","2.0e+4","-5.0e+3","2.1e+4","19.0","3.2e+1","9.0e-1","40292","a0040292"
"40395 (1999 NP54)","04:42:21.88","+15 56'43.3""","5.0e+3","-2.0e+3","5.1e+3","20.5","1.2e+1","-8.3e+0","40395","a0040395"
"40450 (1999 RX37)","05:03:20.37","+13 57'56.1""","2.0e+4","-9.0e+3","2.5e+4","19.5","1.9e+1","-7.9e+0","40450","a0040450"
"40456 (1999 RV41)","04:45:14.89","+22 36'32.9""","7.0e+3","2.0e+4","2.3e+4","19.1","1.9e+1","5.3e+0","40456","a0040456"
"40584 (1999 RJ140)","04:34:53.37","+10 42'21.8""","-2.0e+3","-2.0e+4","2.1e+4","18.8","2.7e+1","-1.4e+1","40584","a0040584"
"40618 (1999 RG164)","04:12:24.17","+19 33'18.0""","-2.0e+4","1.0e+4","2.4e+4","20.2","8.7e+0","-4.7e-1","40618","a0040618"
"40619 (1999 RQ165)","04:39:18.75","+21 28'55.6""","2.0e+3","2.0e+4","1.8e+4","20.2","1.5e+1","1.6e+0","40619","a0040619"
"40652 (1999 RP189)","04:48:59.57","+17 04'54.8""","1.0e+4","2.0e+3","1.1e+4","20.6","1.4e+1","-1.1e+0","40652","a0040652"
"40707 (1999 RV240)","04:32:14.26","+10 14'43.1""","-4.0e+3","-2.0e+4","2.3e+4","18.5","2.3e+1","4.7e+0","40707","a0040707"
"40735 (1999 SU19)","05:01:51.07","+18 25'14.2""","2.0e+4","7.0e+3","2.3e+4","19.7","2.5e+1","4.4e+0","40735","a0040735"
"40746 (1999 TP2)","04:41:19.96","+12 34'33.3""","4.0e+3","-1.0e+4","1.5e+4","19.3","1.2e+1","2.9e+0","40746","a0040746"
"40749 (1999 TP6)","04:15:45.62","+18 33'48.7""","-2.0e+4","8.0e+3","2.0e+4","18.7","1.6e+1","3.4e+0","40749","a0040749"
"40803 (1999 TX39)","04:54:50.99","+17 42'43.2""","2.0e+4","4.0e+3","1.6e+4","19.5","1.0e+1","5.0e+0","40803","a0040803"
"40822 (1999 TM90)","04:42:44.66","+18 34'17.6""","5.0e+3","8.0e+3","9.1e+3","19.9","1.8e+1","7.3e-1","40822","a0040822"
"40863 (1999 TL115)","04:14:32.82","+19 05'43.7""","-2.0e+4","9.0e+3","2.1e+4","20.0","1.4e+1","-6.3e+0","40863","a0040863"
"41136 (1999 VL104)","04:52:16.44","+20 00'30.9""","1.0e+4","1.0e+4","1.8e+4","20.9","9.1e+0","-2.8e+0","41136","a0041136"
"41176 (1999 VP186)","04:46:21.94","+20 47'57.2""","8.0e+3","2.0e+4","1.8e+4","19.4","1.5e+1","1.4e+1","41176","a0041176"
"41264 (1999 XF58)","04:14:23.42","+21 02'59.7""","-2.0e+4","2.0e+4","2.5e+4","19.7","3.5e+0","-1.7e+0","41264","a0041264"
"41275 (1999 XP78)","04:36:29.74","+22 26'26.9""","-3.1e+2","2.0e+4","2.1e+4","20.3","9.8e+0","2.6e+0","41275","a0041275"
"41353 (2000 AB33)","04:21:01.76","+14 29'06.7""","-1.0e+4","-7.0e+3","1.5e+4","19.3","1.1e+0","-3.3e-1","41353","a0041353"
"41406 (2000 AD188)","04:52:17.71","+14 39'41.3""","1.0e+4","-7.0e+3","1.5e+4","18.9","6.8e+0","-1.2e+1","41406","a0041406"
"41427 (2000 DY4)","04:41:54.35","+21 24'44.1""","4.0e+3","2.0e+4","1.8e+4","19.8","3.8e+0","2.1e+0","41427","a0041427"
"41530 (2000 RD9)","04:30:57.79","+20 50'37.6""","-5.0e+3","2.0e+4","1.7e+4","18.2","3.5e+1","1.8e+0","41530","a0041530"
"41531 (2000 RN9)","04:40:12.50","+16 44'46.3""","3.0e+3","9.7e+2","3.0e+3","18.9","3.0e+1","3.0e+0","41531","a0041531"
"41532 (2000 RO9)","04:52:28.71","+16 42'58.3""","1.0e+4","8.7e+2","1.3e+4","18.9","3.1e+1","-2.9e+0","41532","a0041532"
"41575 (2000 ST1)","04:50:13.97","+19 09'14.9""","1.0e+4","1.0e+4","1.5e+4","19.0","4.2e+1","-3.8e+0","41575","a0041575"
"41743 (2000 VJ14)","04:27:39.13","+19 12'18.8""","-8.0e+3","1.0e+4","1.3e+4","18.6","3.9e+1","-2.9e+0","41743","a0041743"
"41758 (2000 VP33)","04:18:33.32","+18 14'53.9""","-2.0e+4","6.0e+3","1.7e+4","18.7","2.9e+1","5.6e+0","41758","a0041758"
"41800 Robwilliams (2000 WM19)","04:39:44.71","+17 05'17.7""","2.0e+3","2.0e+3","3.3e+3","18.4","2.5e+1","-2.3e+1","41800","a0041800"
"41879 (2000 WO104)","04:33:33.75","+17 34'57.5""","-3.0e+3","4.0e+3","4.9e+3","18.9","2.0e+1","3.7e+0","41879","a0041879"
"41915 (2000 WJ152)","04:22:36.34","+16 42'57.1""","-1.0e+4","8.7e+2","1.2e+4","19.2","1.8e+1","-7.0e+0","41915","a0041915"
"41951 (2000 XH10)","04:51:40.19","+11 49'51.7""","1.0e+4","-2.0e+4","2.1e+4","18.3","1.6e+1","1.1e+1","41951","a0041951"
"41972 (2000 YO8)","04:37:24.64","+20 09'48.6""","4.8e+2","1.0e+4","1.3e+4","20.1","2.0e+1","1.8e+0","41972","a0041972"
"41994 (2000 YX38)","05:03:07.15","+10 11'24.0""","2.0e+4","-2.0e+4","3.2e+4","19.0","2.3e+1","-2.7e+0","41994","a0041994"
"41998 (2000 YO45)","04:46:24.38","+10 14'12.5""","8.0e+3","-2.0e+4","2.4e+4","19.6","1.4e+1","-4.9e+0","41998","a0041998"
"42007 (2000 YG50)","04:49:40.21","+21 59'38.4""","1.0e+4","2.0e+4","2.3e+4","20.0","2.2e+1","5.4e+0","42007","a0042007"
"42037 (2000 YQ96)","04:44:10.89","+20 43'02.4""","6.0e+3","2.0e+4","1.6e+4","20.2","9.9e+0","7.6e-1","42037","a0042037"
"42126 (2001 BC15)","04:08:55.17","+18 04'55.4""","-2.0e+4","6.0e+3","2.5e+4","20.0","5.0e-1","-2.2e-1","42126","a0042126"
"42134 (2001 BO25)","04:55:02.52","+15 03'53.2""","2.0e+4","-5.0e+3","1.7e+4","20.0","2.0e+1","-2.0e+0","42134","a0042134"
"42233 (2001 EL2)","04:24:38.87","+22 32'30.1""","-1.0e+4","2.0e+4","2.4e+4","19.4","8.9e+0","1.1e+1","42233","a0042233"
"42422 (3048 T-2)","04:52:23.75","+19 24'40.0""","1.0e+4","1.0e+4","1.7e+4","20.4","1.6e+1","-1.2e-1","42422","a0042422"
"42442 (2603 T-3)","04:27:20.91","+17 36'25.3""","-8.0e+3","4.0e+3","9.1e+3","20.3","7.5e+0","-8.1e+0","42442","a0042442"
"42455 (4293 T-3)","05:02:56.83","+15 30'18.0""","2.0e+4","-3.0e+3","2.3e+4","20.3","1.0e+1","-3.0e+0","42455","a0042455"
"42549 (1996 HJ17)","04:10:59.20","+20 05'40.7""","-2.0e+4","1.0e+4","2.6e+4","19.1","1.1e+1","-2.3e+0","42549","a0042549"
"42567 (1996 XF33)","04:33:42.94","+19 31'25.2""","-3.0e+3","1.0e+4","1.1e+4","18.0","2.9e+1","1.4e+1","42567","a0042567"
"42747 Fuser (1998 SU10)","04:47:50.67","+22 00'44.5""","9.0e+3","2.0e+4","2.2e+4","18.8","1.9e+1","2.6e+0","42747","a0042747"
"42764 (1998 SJ122)","04:21:19.88","+19 54'01.9""","-1.0e+4","1.0e+4","1.8e+4","18.7","1.3e+1","-2.4e+0","42764","a0042764"
"42820 (1999 NA7)","04:21:07.82","+17 30'18.5""","-1.0e+4","4.0e+3","1.4e+4","18.5","2.0e+1","-3.0e-1","42820","a0042820"
"42848 (1999 RT43)","04:33:59.60","+18 43'48.6""","-2.0e+3","8.0e+3","8.5e+3","19.2","1.9e+1","1.2e+0","42848","a0042848"
"42899 (1999 RV193)","05:01:20.01","+21 31'21.8""","2.0e+4","2.0e+4","2.8e+4","18.2","3.5e+1","-2.3e+0","42899","a0042899"
"42940 (1999 TP38)","04:31:52.14","+13 22'02.1""","-4.0e+3","-1.0e+4","1.2e+4","19.2","1.8e+1","-8.3e+0","42940","a0042940"
"43031 (1999 VY25)","05:02:52.41","+12 13'23.6""","2.0e+4","-2.0e+4","2.7e+4","18.7","3.9e+1","5.9e+0","43031","a0043031"
"43049 (1999 VD61)","04:19:53.70","+20 46'57.8""","-1.0e+4","2.0e+4","2.1e+4","20.0","8.4e+0","3.8e+0","43049","a0043049"
"43150 (1999 XF109)","04:27:23.94","+19 49'56.7""","-8.0e+3","1.0e+4","1.5e+4","19.2","2.1e+1","-3.6e+0","43150","a0043150"
"43192 (1999 YG13)","04:43:51.88","+10 16'25.1""","6.0e+3","-2.0e+4","2.3e+4","18.6","1.7e+1","5.8e+0","43192","a0043192"
"43199 (2000 AJ68)","04:39:12.82","+16 09'03.4""","2.0e+3","-1.0e+3","2.3e+3","18.5","8.9e+0","2.0e+0","43199","a0043199"
"43252 (2000 CB10)","04:49:02.05","+20 01'31.8""","1.0e+4","1.0e+4","1.6e+4","19.6","1.2e+1","7.6e-1","43252","a0043252"
"43265 (2000 DX54)","04:18:50.13","+17 41'26.7""","-2.0e+4","4.0e+3","1.6e+4","20.5","1.9e+1","-3.1e-1","43265","a0043265"
"43320 (2000 JG44)","04:36:14.22","+21 16'59.4""","-5.4e+2","2.0e+4","1.7e+4","19.6","2.7e+1","6.8e+0","43320","a0043320"
"43460 (2000 YM123)","04:43:13.96","+12 03'13.7""","5.0e+3","-2.0e+4","1.7e+4","18.9","8.4e+0","-2.0e+0","43460","a0043460"
"43482 (2001 BW32)","04:26:57.21","+13 38'04.8""","-9.0e+3","-1.0e+4","1.3e+4","17.9","4.5e+1","-5.2e+0","43482","a0043482"
"43513 (2001 DG4)","04:44:59.06","+17 12'49.4""","7.0e+3","3.0e+3","7.5e+3","19.1","3.0e+1","8.1e+0","43513","a0043513"
"43543 (2001 FB3)","04:37:28.05","+13 07'17.4""","5.2e+2","-1.0e+4","1.2e+4","19.7","7.8e+0","-6.8e+0","43543","a0043543"
"43572 (2001 FH167)","04:50:48.70","+12 28'23.7""","1.0e+4","-1.0e+4","1.9e+4","20.5","1.4e+1","-6.2e+0","43572","a0043572"
"43605 Gakuho (2001 WD16)","04:24:17.93","+12 39'48.5""","-1.0e+4","-1.0e+4","1.8e+4","19.0","1.6e+1","6.7e+0","43605","a0043605"
"43608 (2001 XM60)","04:17:14.53","+11 54'09.1""","-2.0e+4","-2.0e+4","2.4e+4","17.8","3.0e+1","3.6e+0","43608","a0043608"
"43730 (1979 MK4)","04:39:26.53","+16 32'06.8""","2.0e+3","2.1e+2","2.2e+3","20.3","1.6e+1","-1.6e+0","43730","a0043730"
"43844 Rowling (1993 OX2)","04:35:39.52","+14 05'11.2""","-1.0e+3","-9.0e+3","8.7e+3","19.8","1.9e+1","-3.8e+0","43844","a0043844"
"43847 (1993 QQ5)","04:59:20.68","+18 43'01.1""","2.0e+4","8.0e+3","2.1e+4","19.7","2.1e+1","-3.0e+0","43847","a0043847"
"43913 (1995 YT)","05:01:02.60","+20 02'44.8""","2.0e+4","1.0e+4","2.4e+4","18.8","4.5e+1","1.7e+0","43913","a0043913"
"43915 (1995 YT7)","04:48:34.64","+16 39'19.1""","1.0e+4","6.5e+2","1.0e+4","20.4","8.5e+0","-7.2e-2","43915","a0043915"
"44111 (1998 HN6)","04:51:13.92","+19 36'40.7""","1.0e+4","1.0e+4","1.7e+4","21.2","1.3e+1","1.4e+0","44111","a0044111"
"44131 (1998 HG53)","04:46:56.78","+22 15'41.5""","9.0e+3","2.0e+4","2.3e+4","19.1","1.6e+1","9.0e-1","44131","a0044131"
"44189 (1998 KW61)","04:43:22.68","+22 52'46.0""","6.0e+3","2.0e+4","2.4e+4","19.7","2.2e+1","3.5e+0","44189","a0044189"
"44346 (1998 RC74)","05:03:55.65","+22 37'02.7""","2.0e+4","2.0e+4","3.2e+4","18.6","2.3e+1","-2.1e+0","44346","a0044346"
"44400 (1998 ST97)","04:22:26.15","+16 04'37.8""","-1.0e+4","-1.0e+3","1.3e+4","19.8","9.8e+0","-4.0e+0","44400","a0044400"
"44424 (1998 TL1)","04:18:19.49","+16 12'54.6""","-2.0e+4","-9.4e+2","1.6e+4","19.6","8.3e+0","-9.8e+0","44424","a0044424"
"44425 (1998 TY1)","04:10:08.08","+15 35'08.1""","-2.0e+4","-3.0e+3","2.3e+4","19.3","9.4e+0","3.5e+0","44425","a0044425"
"44428 (1998 TF5)","04:45:15.06","+20 00'38.4""","7.0e+3","1.0e+4","1.5e+4","19.8","1.9e+1","6.9e+0","44428","a0044428"
"44619 (1999 RO42)","04:27:51.32","+13 47'29.1""","-8.0e+3","-1.0e+4","1.2e+4","19.5","1.7e+1","-1.5e+0","44619","a0044619"
"44667 (1999 RB179)","04:23:03.69","+11 00'42.2""","-1.0e+4","-2.0e+4","2.3e+4","19.2","2.4e+1","-5.9e+0","44667","a0044667"
"44735 (1999 TJ27)","04:09:21.21","+22 56'05.2""","-2.0e+4","2.0e+4","3.3e+4","19.3","8.4e+0","5.3e+0","44735","a0044735"
"44763 (1999 TM116)","04:32:31.97","+22 43'28.8""","-4.0e+3","2.0e+4","2.3e+4","19.4","2.3e+1","7.0e+0","44763","a0044763"
"44846 (1999 TN290)","04:11:16.37","+14 26'26.5""","-2.0e+4","-7.0e+3","2.3e+4","19.7","4.9e+0","-1.0e+1","44846","a0044846"
"45001 (1999 VZ186)","04:38:18.41","+18 18'41.6""","1.0e+3","7.0e+3","6.7e+3","19.7","9.4e+0","3.6e+0","45001","a0045001"
"45028 (1999 WD9)","04:33:28.99","+18 16'27.3""","-3.0e+3","6.0e+3","7.1e+3","18.5","2.4e+1","-5.6e+0","45028","a0045028"
"45134 (1999 XN93)","05:02:43.66","+11 42'18.6""","2.0e+4","-2.0e+4","2.8e+4","18.5","2.0e+1","1.7e-1","45134","a0045134"
"45255 (1999 YK13)","04:38:57.91","+20 19'05.6""","2.0e+3","1.0e+4","1.4e+4","20.7","5.4e+0","1.1e+0","45255","a0045255"
"45270 (2000 AT8)","04:30:18.84","+20 34'15.4""","-6.0e+3","1.0e+4","1.6e+4","18.8","1.4e+1","9.3e+0","45270","a0045270"
"45357 (2000 AC102)","04:36:39.40","+12 38'44.3""","-1.8e+2","-1.0e+4","1.4e+4","18.7","3.4e+1","-4.1e+0","45357","a0045357"
"45784 (2000 OZ17)","04:13:24.87","+22 59'17.7""","-2.0e+4","2.0e+4","3.1e+4","18.9","1.1e+1","8.1e+0","45784","a0045784"
"45923 (2000 YV107)","04:54:48.22","+22 30'32.7""","2.0e+4","2.0e+4","2.7e+4","19.8","1.8e+1","4.7e+0","45923","a0045923"
"45953 (2001 AZ33)","04:48:30.16","+22 07'48.7""","1.0e+4","2.0e+4","2.3e+4","19.7","2.2e+1","7.4e+0","45953","a0045953"
